Animal,Behavior,X.,StartI2FS,StartI2,EndI2,StartRNHF,EndRN,StartB3,EndB3,StartB6B9,EndB6B9,StartB43,EndB43,StartB38prot,EndB38prot,StartB38retr,EndB38retr,StartB10prot,EndB10prot,StartB10retr,StartB4B5,EndB4B5
Q19,bite,17,250,250.11,251.879,250.949,252.373,NaN,NaN,251.894,252.8545,253.0035,253.443,NaN,NaN,253.0395,253.098,250.6877,251.3038,251.804,251.8415,252.593
Q19,bite,18,268.3765,269.0355,271.071,270.1885,271.587,NaN,NaN,271.0925,272.182,272.2075,272.602,NaN,NaN,272.2365,272.4915,269.872,270.865,271.0792,270.686,271.6785
Q19,bite,19,273.551,273.551,275.079,274.6735,275.894,NaN,NaN,275.2287,276.192,276.5185,276.767,NaN,NaN,NaN,NaN,274.385,274.9345,275.22,275.2343,275.8659
Q19,bite,20,282.1935,282.1935,283.947,283.1925,284.5375,NaN,NaN,283.9199,284.9474,285.3095,285.354,NaN,NaN,NaN,NaN,282.3285,283.782,283.8605,283.8375,284.6814
Q19,bite,21,311.8795,311.8795,314.0735,313.1985,314.651,314.9315,314.9316,314.1248,315.0345,315.0755,315.3495,NaN,NaN,315.1275,315.264,312.5727,313.1853,313.7238,314.0044,314.637
Q19,bite,22,315.6825,316.0525,317.731,317.1895,318.484,NaN,NaN,317.8738,318.965,319.085,319.5345,NaN,NaN,319.1105,319.1105,316.4785,317.561,317.7975,317.8195,318.5775
Q19,bite,23,325.6515,325.6515,327.2195,326.529,328.0302,NaN,NaN,327.375,328.318,328.3465,328.4027,NaN,NaN,328.4175,329.2825,325.978,327.215,327.0755,326.936,328.0175
Q19,bite,24,329.859,329.7695,332.0103,331.2342,332.8739,NaN,NaN,332.189,333.341,333.352,333.831,328.901,329.51,333.368,333.368,331.525,332.1275,331.801,332.0815,332.9625
Q19,bite,25,438.873,438.955,441.9475,440.5853,442.556,NaN,NaN,442.0655,443.219,443.2889,443.7359,NaN,NaN,443.3775,443.572,439.478,440.4505,441.015,441.9,443.413
Q19,bite,26,446.4055,446.9855,448.5355,448.18,449.4945,NaN,NaN,448.9525,450.0205,450.084,450.326,NaN,NaN,450.151,450.437,447.4295,448.516,448.7325,448.372,449.6955
Q19,bite,27,451.738,451.809,454.099,453.3875,454.718,NaN,NaN,454.1065,454.8045,455.278,455.545,450.1542,450.4367,455.3175,455.6675,453.043,453.8285,453.495,454.0504,454.972
Q19,bite,28,464.85,464.9435,467.114,466.58,467.781,467.6715,467.6716,467.0193,468.334,468.419,468.6545,NaN,NaN,468.4595,468.4595,466.2803,467.0178,466.281,467.2324,467.8469
Q19,bite,29,632.248,632.278,634.8225,634.1369,635.5355,NaN,NaN,634.973,636.082,636.1815,636.6635,NaN,NaN,636.4485,636.7205,633.9148,635.0658,635.4105,634.879,635.586
Q19,bite,30,639.54,639.6855,641.416,640.5175,642.1587,642.587,642.5871,641.583,642.5893,642.793,643.449,NaN,NaN,642.9225,643.2975,640.6483,641.6298,641.9844,641.3845,642.6485
Q19,bite,31,650.526,651.1445,652.916,652.3542,654.1122,NaN,NaN,653.152,654.098,654.3765,654.6365,NaN,NaN,654.393,655.557,652.0105,652.6835,653.0215,653.019,654.171
Q19,weak bite 1,32,656,656,656.8425,656.603,658.103,NaN,NaN,657.8275,658.2155,658.5165,658.6105,NaN,NaN,658.7975,659.501,NaN,NaN,656.7992,656.9879,658.1204
Q19,bite,33,670.806,670.806,673.0977,672.537,673.8005,NaN,NaN,673.2115,674.43,674.4445,674.858,NaN,NaN,674.5885,674.7305,671.5383,672.7503,673.0785,671.4065,674.1035
Q19,bite,34,682.1205,682.1205,684.5735,683.506,685.463,NaN,NaN,684.899,685.9365,686.073,686.6565,NaN,NaN,NaN,NaN,683.897,684.845,684.9036,684.7195,685.7165
Q19,bite,35,689.083,689.083,691.1355,690.3665,692.1003,692.0405,692.0406,691.2858,692.2853,692.3934,692.7559,NaN,NaN,692.4035,693.535,689.8618,691.0853,691.1333,691.0825,692.3605
Q19,bite,36,703.4065,703.755,705.662,704.8784,706.239,706.3085,706.3086,706.1128,706.8758,706.8745,707.33,NaN,NaN,707.0005,707.199,704.0893,705.5418,705.253,705.4775,706.398
Q19,bite,37,714.9596,715.1035,716.8785,716.1495,717.6115,718.1075,718.1076,716.9958,718.0303,718.151,718.558,NaN,NaN,718.18,718.389,715.7588,716.0948,716.8083,716.2705,717.9465
Q19,bite,38,21.5925,21.7225,24.4725,23.4195,25.3375,25.837,26.143,25.084,26.1625,26.4845,27.252,NaN,NaN,26.5145,27.9895,22.8423,24.2292,24.5162,24.4805,26.4285
Q19,bite,39,40.465,40.595,42.784,41.812,43.523,NaN,NaN,43.0065,44.279,44.4155,45.017,NaN,NaN,44.447,45.0015,41.504,42.3875,42.7917,42.875,43.706
Q19,bite,40,157.367,157.667,160.202,159.1685,161.969,NaN,NaN,161.0065,162.193,162.094,162.462,NaN,NaN,162.113,162.7595,158.3622,159.8958,160.2105,160.287,161.982
Q19,weak bite 2,41,40.0105,40.0105,41.388,40.8325,42.7455,NaN,NaN,41.48,42.809,42.901,43.1925,NaN,NaN,42.937,43.137,NaN,NaN,41.321,41.371,41.9461
Q19,bite,42,175.3405,175.3405,178.6995,177.0098,179.1294,179.655,179.6551,179.2115,179.6335,179.7977,180.253,NaN,NaN,180.117,180.742,175.4957,177.0667,178.3825,178.2855,179.1351
Q19,bite,43,184.2305,184.39,186.6575,185.8009,187.2845,186.6855,186.6856,186.563,187.5935,187.905,188.2215,NaN,NaN,187.908,188.025,185.3463,185.8782,186.565,186.633,187.141
Q19,bite,44,243.0895,243.3695,245.354,244.856,245.946,NaN,NaN,245.4265,246.334,246.657,246.9235,NaN,NaN,246.6765,246.778,244.041,245.026,244.625,245.3884,246.1295
Q19,bite,45,400.4845,400.513,403.488,402.7375,404.1305,404.4765,405.379,404.2835,405.5495,405.6352,406.0435,NaN,NaN,405.6925,405.6925,402.0512,403.1702,403.4797,403.5539,403.9551
Q19,VR thin swallow,1,61.2545,61.5255,63.272,62.1485,64.6645,NaN,NaN,63.6375,64.526,64.6865,65.095,60.3617,61.8617,64.818,66.0415,62.297,62.642,63.0285,63.1129,64.5449
Q19,thin swallow,2,65.1345,65.293,66.576,66.3925,69.529,68.9835,69.7675,66.79,69.1605,69.2494,69.945,64.9835,66.2965,69.309,70.7295,NaN,NaN,66.5857,66.6649,69.4495
Q19,thin swallow,3,69.9215,70.2965,71.0405,70.82,73.4785,NaN,NaN,71.2885,73.7435,73.9245,74.0805,69.8835,70.7295,73.953,74.478,NaN,NaN,71.038,71.0175,73.246
Q19,VR thin swallow,4,198.282,198.403,199.358,199.042,202.4015,NaN,NaN,199.56,202.3695,202.4025,202.7295,197.4235,198.7627,202.474,203.494,NaN,NaN,199.1835,199.466,202.2415
Q19,thin swallow,5,203.0025,203.0025,204.168,203.685,206.7775,NaN,NaN,204.2455,206.6125,206.6985,207.4615,202.4742,203.5027,206.703,208.0435,NaN,NaN,204.097,203.524,206.792
Q19,VR thin swallow,6,211.099,211.099,212.406,211.8575,213.5792,213.694,213.6941,212.5505,213.7245,213.8095,214.2995,210.5542,211.4112,213.813,215.176,212.002,212.2128,212.4247,212.4709,213.5445
Q19,thin swallow,7,594.6175,594.6175,595.441,595.2085,598.194,596.399,597.9165,596.006,598.345,598.4515,598.605,593.9173,595.027,598.5035,599.505,NaN,NaN,595.4333,595.181,598.284
Q19,VR thin swallow,8,598.812,599.302,600.2325,599.711,602.2408,601.674,602.4525,600.2765,602.323,602.3865,602.808,598.4853,599.5023,602.5705,603.5135,NaN,NaN,600.1238,600.1715,602.2185
Q19,thin swallow,9,603.0475,603.0475,603.9135,603.7445,605.609,604.981,605.663,604.5825,605.587,605.7108,606.207,602.5668,603.5198,605.761,606.6975,NaN,NaN,603.8782,603.9589,605.484
Q19,thin swallow,10,606.267,606.504,607.759,607.2395,609.477,608.636,609.6435,608,609.206,609.2315,609.7805,605.9863,606.6958,609.413,610.4665,NaN,NaN,608.2233,607.6689,608.999
Q19,thin swallow,11,610.055,610.055,610.8185,610.6795,612.4085,611.8825,612.3845,611.2588,611.9658,612.1123,613.2138,609.8035,610.4665,612.1275,614.0715,NaN,NaN,610.8954,610.6895,612.391
Q19,thin swallow,12,613.801,613.831,614.9183,614.3075,616.0415,615.9635,616.1625,615.2195,616.36,616.3775,616.905,613.1755,614.0693,616.436,617.1275,NaN,NaN,614.9393,614.9841,616.286
Q19,thin swallow,13,831.7665,832.3295,832.8695,832.6425,835.913,834.0785,835.817,833.4385,835.934,835.942,836.4115,831.5877,832.397,836.0275,837.38,NaN,NaN,832.9413,832.9994,836.0325
Q19,thin swallow,14,836.7475,836.7475,837.826,837.578,840.1095,839.052,839.6215,838.624,839.775,839.8268,840.4245,836.0767,837.38,839.849,841.2755,NaN,NaN,837.9363,838.2245,839.683
Q19,thin swallow,15,840.8085,840.8085,841.71,841.52,844.6285,842.975,844.249,842.5935,844.539,844.632,845.135,840.341,841.2755,844.6575,845.8755,NaN,NaN,841.768,841.8064,844.6205
Q19,thin swallow,16,845.134,845.2695,846.58,846.372,848.2835,847.952,848.4875,847.165,848.3435,848.4645,848.8755,844.7507,845.8755,848.4915,849.8175,NaN,NaN,846.7,846.945,848.37
Q19,thin swallow,17,849.744,849.9985,850.674,850.5087,852.569,851.867,852.2135,851.3685,852.594,852.6205,853.3535,849.0275,850.2845,852.6745,854.2115,NaN,NaN,850.7278,850.7458,852.5575
Q19,thick swallow,1,351.9555,351.9555,353.1515,352.7155,355.4545,354.6352,354.6353,353.8052,355.3553,355.4023,356.0505,351.5247,352.5352,355.434,356.6655,NaN,NaN,353.089,352.502,355.5815
Q19,thick swallow,2,74.8545,74.9595,76.4925,75.9315,79.748,78.2322,78.2323,76.9835,79.568,79.672,80.4635,74.1957,75.7687,79.683,81.4015,NaN,NaN,76.6452,76.6174,79.917
Q19,thick swallow,3,80.488,80.4855,81.722,81.5245,84.4155,83.3783,83.3784,82.1385,84.4145,84.4753,84.9412,79.8257,81.2197,84.5235,85.581,NaN,NaN,81.9059,81.95,84.5515
Q19,thick swallow,4,85.433,85.433,87.647,87.4145,90.987,90.8312,90.8313,88.3725,91.0985,91.1207,91.673,84.6187,86.0797,91.351,92.6585,87.47,87.4001,87.6993,87.748,91.0895
Q19,thick swallow,5,91.896,92.066,93.126,92.7938,95.744,94.041,95.9215,93.734,95.725,95.809,96.4295,91.0518,92.5143,95.857,97.3,NaN,NaN,93.1893,94.4715,95.768
Q19,thick swallow,6,290.3715,290.563,293.8,293.782,296.8895,295.5169,295.517,294.7385,296.51,297.0177,297.5213,289.5676,293.6916,296.9938,298.1588,NaN,NaN,294.099,293.9899,297.028
Q19,thick swallow,7,102.8395,102.8395,103.784,103.487,108.6344,106.2482,106.2483,104.4697,107.6187,108.6532,109.1763,102.5681,103.6756,108.7767,110.1147,103.9833,104.1517,104.3752,104.377,108.8605
Q19,thick swallow,8,151.0675,151.0675,152.222,151.981,154.4155,153.8215,153.8216,152.6845,154.4215,154.472,154.9569,150.5371,151.8116,154.62,155.9455,NaN,NaN,152.3572,152.3625,154.421
Q19,rejection,1,487.442,488.759,489.5495,485.7958,489.0901,490.77,491.3815,490.3648,491.2953,491.5715,491.899,485.6535,486.764,491.667,492.4795,NaN,NaN,490.0178,488.6925,491.045
Q19,rejection,2,501.6745,503.0635,504.86,501.375,504.182,506.4915,508.0755,505.7757,508.0087,507.954,508.6725,NaN,NaN,508.019,509.649,502.77,504.042,505.1937,503.7715,507.8385
Q19,rejection,3,520.1763,521.8935,523.866,517.8338,522.1071,525.311,525.8185,524.6543,526.4543,525.8578,526.8195,NaN,NaN,525.8985,526.8465,520.9913,521.9993,524.4848,521.9895,525.729
Q19,rejection,4,530.8145,531.0045,533.1805,532.3845,533.0665,533.797,535.394,533.624,535.2485,535.4035,535.754,NaN,NaN,535.4135,536.311,532.222,532.7743,533.4918,532.8025,534.5785
Q19,rejection,5,746.1255,746.348,749.056,744.9565,748.0565,750.2905,750.2906,750.3985,752.3495,752.6663,753.1848,NaN,NaN,753.8425,753.8425,747.3883,747.8838,749.2718,746.8405,752.453
Q19,rejection,6,754.683,754.683,757.686,751.5475,756.8074,759.0835,759.0836,758.3445,760.4535,760.539,763.3185,NaN,NaN,760.59,762.8445,755.2883,756.0223,757.8258,755.9359,761.0864
Q19,rejection,7,494.109,494.1515,496.523,492.444,495.625,498.032,498.0321,497.4725,498.611,498.6943,500.9337,NaN,NaN,498.7885,500.586,494.8912,495.5203,497.4673,495.3515,500.251
Q19,rejection,8,272.2745,272.2745,274.961,270.5965,274.7339,277.1259,277.126,276.4357,277.8563,278.2867,278.8343,NaN,NaN,278.409,278.9935,273.4017,274.4817,276.4253,274.218,278.0715
Q19,rejection,9,291.1545,291.0825,293.7785,289.773,293.1204,295.088,296.4095,294.2485,296.0735,296.1152,296.7867,NaN,NaN,296.23,297.578,291.8498,292.9073,294.573,292.286,297.004
Q19,rejection,10,298.039,298.0805,300.9005,296.6005,300.2675,302.365,302.3651,301.5905,302.914,303.3192,305.1182,NaN,NaN,303.3245,305.0605,298.9242,299.5498,301.393,298.3365,304.2785
Q19,rejection,11,306.229,306.9895,310.269,304.2075,309.5075,311.7685,311.7686,310.9335,313.002,313.1538,313.6818,NaN,NaN,313.2055,313.7475,307.7548,309.4433,310.9402,309.162,313.087
Q27,bite,1,77.998,78.558,83.338,82.3329,85.1324,NaN,NaN,84.7865,85.2155,85.3973,85.804,NaN,NaN,86.09175,86.441,79.9556,80.8214,83.4206,83.4163,84.599
Q27,bite,2,86.6065,86.91675,90.31,89.56525,92.201,NaN,NaN,91.6895,92.26025,92.393,92.6035,NaN,NaN,92.7765,93.457,89.0381,89.0382,90.3037,90.4413,90.97525
Q27,bite,3,94.682,94.972,98.24175,96.4012,99.97475,NaN,NaN,99.54525,99.9715,99.99,100.6015,NaN,NaN,NaN,NaN,96.0409,97.7119,98.2937,98.3458,99.5875
Q27,bite,4,102.12,102.3,104.31,103.60575,105.359,NaN,NaN,105.44925,105.793,106.035,106.1765,NaN,NaN,106.4475,106.4477,102.8629,104.1971,104.4899,103.99,104.88925
Q27,bite,5,106.429,107.329,109.879,108.82175,111.0915,NaN,NaN,110.94725,111.3625,111.4745,111.911,106.4475,106.4477,111.971,112.859,107.8204,109.2031,109.6779,109.9415,110.56475
Q27,bite,6,201.3465,201.9265,204.9185,203.27525,206.19875,NaN,NaN,205.8205,206.35575,206.59475,206.99625,199.1709,199.7001,207.01175,207.7305,202.8959,204.0734,205.0352,204.9723,205.897
Q27,bite,7,226.6745,226.6745,232.7645,232.591,234.60475,234.07175,234.48225,233.85425,234.54675,234.6767,235.29125,225.5118,225.7615,234.908,235.27375,231.7456,232.4901,231.7589,232.8325,233.46275
Q27,bite,8,322.146,322.446,325.01,324.02275,326.776,NaN,NaN,325.91675,326.803,326.82,327.50175,NaN,NaN,327.1655,327.9165,323.8676,324.6781,325.00125,325.1235,325.97925
Q27,bite,9,327.13675,328.03675,330.04675,329.4077,331.92375,NaN,NaN,331.0415,332.00625,332.1125,332.55125,327.1663,327.9199,332.28775,332.28775,NaN,NaN,330.1005,330.232,330.9505
Q27,bite,10,341.2195,341.6195,343.9673,342.7845,345.76425,NaN,NaN,344.92625,345.925,345.9705,346.919,NaN,NaN,346.56875,346.56875,342.26525,343.373,344.0201,344.1268,344.8715
Q27,bite,11,348.099,348.399,351.0182,349.669,352.464,NaN,NaN,351.978,352.86225,352.87925,353.33175,NaN,NaN,353.4675,354.189,350.04775,350.334,351.0475,351.0985,351.962
Q27,bite,12,356.207,356.457,358.4265,357.26625,360.219,NaN,NaN,359.42325,360.19525,360.3429,360.74425,353.4671,356.6403,360.39575,360.39575,357.54975,357.54975,358.4935,358.5565,359.4485
Q27,bite,13,364.29775,364.29775,366.60775,365.152,368.3305,NaN,NaN,367.626,368.1495,368.30075,368.7375,362.3826,364.021,368.806,368.806,365.13025,365.6145,366.595,366.6758,367.63275
Q27,bite,14,371.453,371.89075,373.86075,372.63875,375.37375,NaN,NaN,374.9185,375.36225,375.5705,375.94125,370.8697,371.7892,375.88675,375.88675,373.025,373.43975,373.9718,373.9443,374.9783
Q27,bite,15,498.35175,499.35175,502.18675,499.5332,504.001,NaN,NaN,502.94275,504.0205,504.1443,504.7385,496.3714,497.1774,504.56775,504.56775,501.36175,501.36175,502.1698,502.2148,502.9905
Q27,bite,16,516.2525,516.5725,518.95375,517.46575,520.3737,NaN,NaN,519.877,520.741,520.753,521.53575,NaN,NaN,521.56925,521.56925,517.869,518.04425,518.9509,519.0493,520.06475
Q27,bite,17,820.468,820.698,823.828,822.79275,825.3125,825.0785,825.0786,824.39025,825.21075,825.4173,825.97925,NaN,NaN,825.49775,825.58625,NaN,NaN,823.7925,823.81725,824.07
Q27,bite,18,833.8105,834.22975,837.16975,836.19825,838.82525,NaN,NaN,838.02,838.786,838.9042,839.5045,NaN,NaN,839.05575,839.696,834.84425,836.36125,837.2252,837.26625,838.1555
Q27,bite,19,840.5805,842.9705,845.4615,844.09,847.11025,NaN,NaN,846.27925,847.21725,847.2403,847.81175,NaN,NaN,847.84525,847.84525,843.513,843.513,845.5046,845.5165,846.69325
Q27,weak bite,1,195.49975,195.49975,197.2278,197.0435,199.015,198.4575,198.9715,198.05425,198.9885,199.1244,199.6595,194.8781,195.9596,199.463,199.6985,NaN,NaN,197.2346,197.2673,198.06925
Q27,weak bite,2,186.2715,186.95,189.1515,188.3765,191.00825,190.43575,190.8695,190.32375,191.024,191.0875,191.41725,186.2445,187.4103,191.25425,191.74625,NaN,NaN,189.2366,188.9745,190.234
Q27,thin swallow,1,137.073,137.993,139.263,138.66075,141.567,140.39225,141.39925,140.3275,141.41225,141.61675,142.1965,137.1636,138.42025,141.7665,142.71425,NaN,NaN,139.3493,139.393,140.08275
Q27,thin swallow,2,142.259,142.669,143.3858,142.92875,145.48125,144.1835,145.42475,144.17125,145.061,145.609,145.98925,141.5239,142.71425,145.94875,146.9295,NaN,NaN,143.5297,143.395,144.10625
Q27,thin swallow,3,146.0825,146.7125,148.14,147.9125,151.12125,148.951,150.928,149.126,151.003,151.0595,151.859,146.12775,147.3175,151.13625,152.731,NaN,NaN,148.2562,148.1248,148.6785
Q27,thin swallow,4,164.416,164.416,165.886,165.67625,168.368,166.556,168.14,166.739,167.1525,168.39925,168.932,163.4505,165.20625,168.4135,169.7495,NaN,NaN,166.0035,165.8393,166.62225
Q27,thin swallow,5,284.118,284.498,285.9377,285.755,288.21925,286.7255,287.5715,286.61225,287.90175,288.435,288.74575,284.16725,285.40025,288.875,289.57625,NaN,NaN,285.9905,285.8833,286.4547
Q27,thin swallow,6,433.2175,433.4975,434.5638,434.47475,437.86,435.227,437.7167,435.108,437.64275,437.8425,438.6255,433.147,433.905,437.89825,439.36225,434.754,434.7541,435.1083,434.5315,435.1075
Q27,thin swallow,7,443.38725,443.55725,444.79875,444.61925,446.47175,445.6075,446.30375,445.43125,446.52225,446.589,447.18875,443.2045,444.1205,446.6125,448.08,NaN,NaN,444.9652,444.842,445.2242
Q27,thin swallow,8,447.439,447.701,449.2135,449.106,450.90175,449.8225,450.40975,449.75125,450.77225,450.91325,451.47025,447.38775,448.37325,451.415,451.798,NaN,NaN,449.3945,449.1808,449.6565
Q27,thin swallow,9,457.1243,457.154,458.691,458.5445,460.5735,459.23,460.45975,459.21475,460.57075,460.61625,461.24025,456.927,458.4725,461.48775,462.1535,NaN,NaN,458.8156,458.644,459.2498
Q27,thin swallow,10,462.304,462.60625,464.6092,464.048,465.87525,464.91075,465.562,464.83625,465.91225,466.0045,466.7265,461.4973,463.89075,NaN,NaN,NaN,NaN,464.561,464.341,464.45725
Q27,thin swallow,11,550.953,551.463,553.115,552.9285,554.88025,554.2047,554.9865,553.8221,555.145,555.15325,555.59075,550.6962,551.1437,555.6905,556.463,NaN,NaN,553.37825,553.1065,553.834
Q27,thin swallow,12,565.3532,565.47125,568.7038,567.7895,570.19525,NaN,NaN,569.2005,570.26425,570.3078,570.81175,563.4987,565.481,570.857,571.36,NaN,NaN,568.782,568.7685,569.3605
Q27,thin swallow,13,573.62225,573.62225,575.21225,574.97325,577.55,576.55075,577.25725,575.8935,577.53025,577.6215,578.36325,573.0685,573.92975,578.00925,578.929,NaN,NaN,575.32475,575.3408,575.996
Q27,thin swallow,14,586.0245,586.1745,587.8245,587.73825,589.6425,588.67625,589.343,588.469,589.69325,589.70325,590.343,585.2508,586.5778,589.84725,591.3085,587.6087,587.6088,588.11375,587.8115,588.53225
Q27,thin swallow,15,602.6965,602.6965,604.2533,604.13075,605.922,604.9515,604.9515,604.801,605.99075,606.0205,606.555,601.8955,603.385,NaN,NaN,NaN,NaN,604.54,604.28625,604.892
Q27,thin swallow,16,742.07575,742.32575,743.7945,743.414,748.9263,745.226,749.7275,744.64525,749.30775,749.7943,750.3053,741.8035,742.8375,749.8195,750.71475,NaN,NaN,743.916,743.90675,744.6195
Q27,thin swallow,17,750.379,750.556,751.676,751.526,753.67,753.08,753.276,752.39775,753.50825,753.52625,753.98775,749.824,750.71475,753.552,754.7935,NaN,NaN,751.793,751.69225,752.468
Q27,thin swallow,18,754.03425,754.18425,755.7927,755.698,758.10375,756.432,758.01675,756.34075,757.943,758.10525,758.599,753.5185,754.7935,758.1115,759.56475,NaN,NaN,755.9686,755.7813,756.2467
Q27,thin swallow,19,759.0925,759.0925,760.5325,760.7295,763.36125,761.3985,763.33425,761.2975,763.23025,763.4346,764.163,758.75475,760.4245,763.6115,765.1365,NaN,NaN,761.11875,760.87,761.2083
Q27,thin swallow,20,771.314,771.314,773.174,772.92275,775.69425,774.40975,775.3595,773.9655,775.591,775.7505,776.25875,771.2035,772.4585,776.0565,777.21125,NaN,NaN,773.4805,773.379,773.7275
Q27,thin swallow,21,777.0325,777.2025,778.789,778.7535,781.70125,779.233,779.233,779.5995,781.71175,781.754,782.34625,776.463,778.5895,782.2205,782.521,NaN,NaN,778.9794,778.8043,779.142
Q27,thin swallow,22,787.11175,787.31175,791.37175,791.5258,794.5975,792.4215,794.41275,792.236,794.41975,794.5478,795.23825,790.3652,791.3305,794.5935,795.616,790.3729,791.3766,791.8339,791.63125,792.23125
Q27,thin swallow,23,803.5188,803.818,805.1112,804.995,807.765,806.06,807.277,805.75875,807.71125,807.746,808.396,NaN,NaN,808.136,808.136,NaN,NaN,805.3125,805.11875,805.832
Q27,thin swallow,24,887.249,887.379,888.85,888.317,892.23225,890.3145,891.93475,889.768,892.0595,892.2047,892.56025,886.56525,887.954,892.36825,893.4665,NaN,NaN,888.9425,888.882,889.7165
Q27,thin swallow,25,893.615,893.615,895.115,895.078,897.373,895.9115,896.9125,895.94775,897.11075,897.23425,897.7825,892.352,894.95225,897.34075,897.34075,NaN,NaN,895.4759,895.1965,895.676
Q27,thin swallow,26,910.99875,911.51875,912.9965,912.935,915.053,913.62775,914.56425,913.795,914.82175,915.1627,915.65275,911.11675,912.70575,915.62175,916.60625,NaN,NaN,913.1424,912.3805,913.62525
Q27,thin swallow,27,134.818,135.068,136.827,136.31225,138.97575,138.54625,138.54625,137.9835,138.7665,138.8472,139.24675,134.8155,136.26775,139.63225,139.63225,NaN,NaN,136.89025,136.70075,138.22775
Q27,thin swallow,28,174.054,174.914,176.561,176.3273,178.44425,177.7033,177.7034,177.31525,178.3444,178.2215,178.85625,173.3274,175.7355,178.2625,178.766,NaN,NaN,176.9535,176.579,177.352
Q27,thick1cm swallow,1,573.078,573.648,574.8335,574.48525,576.48375,576.2895,576.558,575.8665,576.753,576.8685,577.354,572.39325,574.0085,577.4035,578.32,NaN,NaN,574.4507,574.954,575.058
Q27,thick1cm swallow,2,577.9645,577.9645,579.3478,579.0225,583.438,580.4055,583.39625,580.154,583.527,583.558,583.881,577.65875,578.7765,583.698,584.87025,NaN,NaN,579.492,579.432,579.759
Q27,thick1cm swallow,3,596.92575,597.04575,598.36575,598.2575,601.046,599.00625,600.96475,598.91425,601.0111,601.0968,601.6605,594.6583,597.8139,601.32475,602.38325,NaN,NaN,598.52325,598.3745,598.6795
Q27,thick1cm swallow,4,602.9725,603.1925,605.0425,604.8723,608.553,606.398,608.29975,605.65875,607.7765,608.47575,608.97625,601.3224,603.4191,608.6855,609.929,NaN,NaN,605.233,605.2085,605.4995
Q27,thick1cm swallow,5,636.73275,637.23275,638.68275,638.61375,642.153,639.77475,641.9385,639.44275,642.00825,642.0309,642.7851,636.3063,637.0874,642.056,643.65825,NaN,NaN,638.845,638.784,639.08625
Q27,VR thin swallow,1,152.82325,153.04325,154.98325,154.06075,156.5105,156.102,156.5115,155.845,156.76425,156.8904,157.4086,151.3421,153.5025,157.0755,157.537,NaN,NaN,155.4108,155.0195,155.4215
Q27,VR thin swallow,2,157.4985,158.1685,160.6785,160.0175,162.96875,162.11375,162.8285,161.835,162.83375,163.0696,163.64525,157.0776,157.5356,163.34975,164.627,NaN,NaN,160.7879,160.8293,161.98475
Q27,VR thin swallow,3,175.68525,175.86525,177.99525,177.17575,179.8975,179.18925,179.8695,178.9745,179.658,179.98925,180.4595,175.3459,176.10525,180.407,181.053,177.1617,177.5072,178.0882,178.1623,179.00925
Q27,VR thin swallow,4,180.4653,180.909,183.2643,182.21275,185.07925,184.46625,184.82375,184.11175,184.976,185.0427,185.705,180.4101,181.0524,185.14775,186.24575,182.2709,182.271,183.2648,183.3103,184.138
Q27,VR thin swallow,5,273.2375,273.2375,275.0675,274.0425,277.00675,NaN,NaN,276.426,276.9425,277.1585,277.47525,272.4475,273.48875,277.497,278.304,NaN,NaN,275.17725,275.219,275.8759
Q27,VR thin swallow,6,279.064,279.064,280.713,280.20775,283.633,282.126,283.3495,281.6705,283.5905,283.611,283.99825,278.69075,279.62225,284.082,284.98,NaN,NaN,280.81925,280.78775,281.4715
Q27,VR thin swallow,7,308.20375,308.20375,310.19575,309.729,312.08925,311.568,311.568,311.0515,311.9175,312.04375,312.72625,306.9773,308.218,312.37925,312.52625,NaN,NaN,310.246,310.26725,311.17925
Q27,VR thin swallow,8,418.19325,418.64325,421.04975,419.85625,422.55625,NaN,NaN,422.15975,422.94075,423.0145,423.377,418.169,418.80525,423.28575,424.36425,419.9496,420.3844,421.1946,421.20675,421.95725
Q27,VR thin swallow,9,424.41875,424.41875,425.8985,425.4055,428.325,427.098,428.12725,426.79875,428.46225,428.53075,428.641,423.98375,424.94075,428.75225,429.57925,NaN,NaN,425.99375,425.93275,426.69425
Q27,VR thin swallow,10,429.0945,429.4145,430.4445,430.07225,432.753,431.229,432.58925,431.0935,432.63325,432.69225,433.09625,428.8545,429.814,432.85175,433.905,NaN,NaN,430.4685,430.42375,430.79075
Q27,VR thin swallow,11,438.9515,439.3215,441.0215,440.70675,442.56975,NaN,NaN,441.62825,442.334,442.6575,443.29675,438.0763,439.36225,443.1115,444.1205,NaN,NaN,441.106,441.0978,441.3695
Q27,VR thin swallow,12,452.58725,452.83725,454.4695,453.97775,456.2855,455.65625,456.72,455.097,456.23,456.3485,456.89375,451.4153,452.6013,456.8265,457.7675,NaN,NaN,454.56925,454.559,454.7199
Q27,VR thin swallow,13,731.60575,732.00575,734.24575,733.14375,736.281,735.748,736.074,735.25425,735.956,736.1658,736.8723,731.1183,731.98425,736.44425,737.7215,733.2385,734.05,734.3555,734.37475,734.9655
Q27,VR thin swallow,14,736.9375,737.3475,739.2175,738.54225,741.533,740.8355,741.44275,740.1864,741.5448,741.2035,741.922,736.906,737.9465,741.50825,742.8375,NaN,NaN,739.32375,739.388,740.06375
Q27,VR thin swallow,15,809.998,810.708,812.788,812.4165,814.7845,814.4161,814.4162,813.604,814.7725,814.8863,815.5955,808.0856,808.1333,815.0825,816.14025,811.78775,812.0415,812.9556,812.9675,813.59825
